Date,Open,High,Low,Close,Volume,Adj Close
2007-05-28,14467.85,14527.47,14368.4,14397.89,12000,14397.89
2007-05-29,14418.98,14530.15,14372.07,14508.21,11000,14508.21
2007-05-30,14501.46,14576.37,14379.21,14411.38,15000,14411.38
2007-05-31,14451.31,14573.81,14448.57,14544.46,12400,14544.46
2007-06-01,14610.28,14682.1,14539.89,14570.75,13800,14570.75
2007-06-04,14618.78,14683.36,14465.68,14495.77,15200,14495.77
2007-06-05,14514.2,14571.31,14432.67,14535.01,10800,14535.01
2007-06-06,14551.53,14590.82,14234.07,14255.93,22800,14255.93
2007-06-07,14195.84,14362.58,14139.09,14186.18,17000,14186.18
2007-06-08,14063.94,14229.22,14010.61,14063.81,18600,14063.81
2007-06-11,14170.81,14268.91,14057.63,14083.41,12000,14083.41
2007-06-12,14122.33,14153.44,13946.99,14130.95,13600,14130.95
2007-06-13,14139.92,14152.79,13968.38,14003.03,13000,14003.03
2007-06-14,14087.91,14219.24,14087.91,14203.72,11800,14203.72
2007-06-15,14277.61,14326.55,14112.53,14162.71,13000,14162.71
2007-06-18,14241.76,14283.71,14057.26,14080.14,9400,14080.14
2007-06-19,14088.58,14315.18,14058.79,14295.5,9400,14295.5
2007-06-20,14359.96,14449.38,14347.58,14411.95,11200,14411.95
2007-06-21,14415.56,14526.44,14406.67,14499.24,13800,14499.24
2007-06-22,14508.63,14560.32,14441.76,14467.36,18600,14467.36
2007-06-25,14469.43,14521.62,14424.71,14487.72,16200,14487.72
2007-06-26,14478.75,14560.48,14478.75,14501.08,12400,14501.08
2007-06-27,14520.19,14520.19,14407.12,14431.06,10400,14431.06
2007-06-28,14498.05,14537.04,14435.24,14504.57,16000,14504.57
2007-06-29,14589.52,14663.25,14574.45,14650.51,10800,14650.51
2007-07-02,14685.16,14745.97,14638.88,14664.26,9200,14664.26
2007-07-03,14720,14828.39,14720,14806.51,9200,14806.51
2007-07-04,14868.14,14906.93,14790.75,14880.24,14800,14880.24
2007-07-05,14932.53,14963.26,14731.22,14861.89,18800,14861.89
2007-07-06,14843.43,15007.22,14826.56,14964.12,20000,14964.12
2007-07-09,15018.71,15085.22,15005.47,15045.73,14200,15045.73
2007-07-10,15100.13,15114.95,14966.4,15009.88,12600,15009.88
2007-07-11,14948.15,15015.35,14829.55,14910.62,14600,14910.62
2007-07-12,14963.53,15112.22,14963.53,15092.04,19800,15092.04
2007-07-13,15216.83,15330.73,15216.83,15272.72,24000,15272.72
2007-07-16,15295.03,15341.38,15239.41,15311.22,20000,15311.22
2007-07-17,15357.6,15440.2,15272.46,15289.82,15800,15289.82
2007-07-18,15296.06,15325.78,15160.27,15301.17,13000,15301.17
2007-07-19,15357.38,15593.31,15357.38,15550.13,18600,15550.13
2007-07-20,15625.63,15683.03,15524.68,15565.55,18000,15565.55
2007-07-23,15560.57,15773.37,15477.91,15732.2,13400,15732.2
2007-07-24,15802.19,15868.85,15742.32,15794.92,22200,15794.92
2007-07-25,15711.87,15771.26,15572.98,15699.33,25200,15699.33
2007-07-26,15768.28,15812.27,15654.4,15776.31,17000,15776.31
2007-07-27,15487.76,15495.51,15159.68,15234.57,30200,15234.57
2007-07-30,15278.03,15451.81,15135.25,15260.91,20400,15260.91
