Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
28-May-2007,4248.35,4295.6,4242.8,4256.55,82687609,3524.29
29-May-2007,4257.6,4298.85,4248.9,4293.25,70929391,3797.57
30-May-2007,4292.7,4301.6,4241.35,4249.65,88198865,5019.21
31-May-2007,4250.25,4306.75,4250.25,4295.8,105631422,4960.86
01-Jun-2007,4296.05,4325.8,4288.55,4297.05,73330395,3665.42
04-Jun-2007,4300.7,4362.95,4256.45,4267.05,81067590,3405.67
05-Jun-2007,4268.9,4292.5,4249.1,4284.65,77453933,3585.98
06-Jun-2007,4285.75,4324.1,4190.95,4198.25,83487572,4037.35
07-Jun-2007,4197.6,4230.05,4130.5,4179.5,85897072,4096.82
08-Jun-2007,4179.5,4195.15,4126.1,4145,104593779,5337.22
11-Jun-2007,4183.75,4205.2,4134.95,4145.6,82508456,3650.49
12-Jun-2007,4139.7,4166.85,4100.8,4155.2,74344690,3659.97
13-Jun-2007,4155.2,4161.8,4102.95,4113.05,64074203,3287.71
14-Jun-2007,4113.2,4174.05,4112.85,4170,62857867,3306.45
15-Jun-2007,4186.4,4209.45,4153.7,4171.45,63381900,3221.92
18-Jun-2007,4177,4208.15,4140.25,4147.1,51604532,2726.28
19-Jun-2007,4143.85,4222.4,4136.15,4214.3,56324333,3172.82
20-Jun-2007,4214.3,4257,4214.3,4248.65,66195436,3687.78
21-Jun-2007,4248.65,4275.35,4220.1,4267.4,71847492,3911.35
22-Jun-2007,4267.55,4278.85,4242.5,4252.05,66686692,3525.94
25-Jun-2007,4251.4,4264.25,4236.3,4259.4,76162914,3490.6
26-Jun-2007,4259.4,4296.15,4250.1,4285.7,79271798,3201.08
27-Jun-2007,4286.2,4294.2,4255.25,4263.95,77203717,3335.55
28-Jun-2007,4263.9,4291.4,4256.9,4282,117441740,5177.41
29-Jun-2007,4282.4,4321.35,4280.95,4318.3,72628435,4423.22
02-Jul-2007,4318.4,4346.75,4305.45,4313.75,64709910,3487.02
03-Jul-2007,4315.05,4363.35,4313.55,4357.55,60061503,3454.26
04-Jul-2007,4358.25,4386.45,4342,4359.3,62524977,3528.45
05-Jul-2007,4359.2,4378.55,4311.8,4353.95,64671779,3799.4
06-Jul-2007,4353.1,4411,4304,4384.85,84077477,4758.87
09-Jul-2007,4385.45,4427.55,4385.45,4419.4,60169572,3581.93
10-Jul-2007,4419.1,4434.45,4393,4406.05,73279845,4044.41
11-Jul-2007,4403.8,4411.45,4344.7,4387.15,78074214,4247.71
12-Jul-2007,4388.05,4451.95,4387.05,4446.15,94804490,4608.37
13-Jul-2007,4446.4,4513.9,4446.05,4504.55,126861025,6299.18
16-Jul-2007,4505.95,4521.85,4495.95,4512.15,102224299,4647.83
17-Jul-2007,4497.1,4550.25,4488.25,4496.75,99221022,4753.39
18-Jul-2007,4498.65,4510.8,4452.85,4499.55,78605118,3999.76
19-Jul-2007,4500.35,4573,4496.2,4562.1,84358586,5026.26
20-Jul-2007,4563.75,4600.8,4553.8,4566.05,90691447,5464.2
23-Jul-2007,4564.25,4628.45,4547.2,4619.35,78303529,4644.71
24-Jul-2007,4620.05,4647.95,4609.75,4620.75,82215745,4981.93
25-Jul-2007,4620.5,4620.5,4555.8,4588.7,108683665,5402.74
26-Jul-2007,4593.1,4624.3,4570.8,4619.8,129054845,7239.43
27-Jul-2007,4618.65,4618.9,4424.25,4445.2,137904339,8019.26
30-Jul-2007,4442.35,4493.05,4403.7,4440.05,95133545,5036.25
31-Jul-2007,4444.25,4534.2,4432.85,4528.85,84428945,5354.43
01-Aug-2007,4528.85,4532.9,4339.75,4345.85,104901731,6263.7
02-Aug-2007,4356.35,4399.75,4327,4356.35,71160531,4247.18
03-Aug-2007,4355.75,4428.1,4355.75,4401.55,63323143,3527.53
06-Aug-2007,4404.05,4404.05,4267.15,4339.5,64266652,3947.46
07-Aug-2007,4341.5,4406.4,4341.5,4356.35,62908203,3906.74
08-Aug-2007,4357,4472.15,4356.75,4462.1,68516647,4576.75
09-Aug-2007,4462.25,4530.05,4390.8,4403.2,79104231,4675.71
10-Aug-2007,4393.6,4395.5,4239.2,4333.35,83430243,4970.07
13-Aug-2007,4324.65,4383.8,4324.65,4373.65,49978808,2859.35
14-Aug-2007,4373.9,4394.3,4354.35,4370.2,43545272,2291.42
16-Aug-2007,4366,4366,4171.15,4178.6,97455252,5647.4
17-Aug-2007,4171.1,4171.1,4002.2,4108.05,136745082,7890.52
20-Aug-2007,4108.95,4262.6,4108.95,4209.05,68848163,4144.18
21-Aug-2007,4209.55,4238.1,4058.55,4074.9,76222185,4603.08
22-Aug-2007,4081.25,4165.7,4040.15,4153.15,88280495,4850.94
23-Aug-2007,4160.1,4249.85,4100.8,4114.95,94064917,5064.67
24-Aug-2007,4113.05,4201.45,4110.05,4190.15,63207503,3494.02
27-Aug-2007,4193.6,4310,4193.6,4302.6,63334364,3628.75
28-Aug-2007,4302.4,4329.15,4280.6,4320.7,64161720,3763.78
29-Aug-2007,4317.7,4368.6,4226.35,4359.3,86795180,4948.57
30-Aug-2007,4360.35,4422.3,4359.75,4412.3,129235436,6876.16
31-Aug-2007,4412.6,4471.3,4403,4464,84522020,4506.79
03-Sep-2007,4466.65,4490.55,4452.4,4474.75,82426744,3684.82
04-Sep-2007,4481.55,4501.3,4460.4,4479.25,72596442,3803.46
05-Sep-2007,4479.6,4507.75,4458.55,4475.85,74049046,4253.75
06-Sep-2007,4475.7,4522.5,4445.55,4518.6,60723408,3269.77
07-Sep-2007,4518.65,4547.75,4499.9,4509.5,58007769,3244.15
10-Sep-2007,4506.85,4515.25,4452.95,4507.85,68954773,2945.42
11-Sep-2007,4509.65,4538.6,4487.15,4497.05,80407538,3745.65
12-Sep-2007,4498.65,4531.5,4490.4,4496.85,67387402,3665.02
13-Sep-2007,4498.05,4540.6,4498.05,4528.95,59367856,3806.79
14-Sep-2007,4530,4582.6,4508.85,4518,71396061,4106.56
17-Sep-2007,4518.45,4549.05,4482.85,4494.65,51303287,3001.73
18-Sep-2007,4494.1,4551.8,4481.55,4546.2,56445958,3739.55
19-Sep-2007,4550.25,4739,4550.25,4732.35,108516311,6534.71
20-Sep-2007,4734.85,4760.85,4721.15,4747.55,94397108,5216.22
21-Sep-2007,4752.95,4855.7,4733.7,4837.55,162157477,6337.54
24-Sep-2007,4837.15,4941.15,4837.15,4932.2,163303253,7861.31
25-Sep-2007,4939.1,4953.9,4878.15,4938.85,141397062,6756
26-Sep-2007,4937.6,4980.85,4930.35,4940.5,117795116,6273.94
27-Sep-2007,4942.7,5016.4,4942.7,5000.55,172282571,9615.32
28-Sep-2007,4996.45,5055.8,4996.45,5021.35,138449641,7878.16
01-Oct-2007,5021.5,5089.3,5001.35,5068.95,132718024,8090.28
03-Oct-2007,5069,5261.35,5034.15,5210.8,189671371,11823.12
04-Oct-2007,5211.65,5233.1,5126.05,5208.65,127928117,8086.8
05-Oct-2007,5208.15,5248.55,5164.5,5185.85,102068106,7219.38
08-Oct-2007,5186.25,5249.3,5024.75,5085.1,111963708,7196.73
09-Oct-2007,5062.65,5348.7,5000.95,5327.25,140800436,8932.79
10-Oct-2007,5328.15,5454.7,5328.15,5441.45,184935570,11247.93
11-Oct-2007,5438.9,5532.75,5424.25,5524.85,130842926,8358.87
12-Oct-2007,5525.3,5549.3,5402.6,5428.25,174642549,11985.07
15-Oct-2007,5428.35,5682.65,5419.9,5670.4,160987288,10253.4
16-Oct-2007,5670.65,5708.35,5578.45,5668.05,174339189,11698.74
17-Oct-2007,5658.9,5658.9,5107.3,5559.3,186850872,13394.73
18-Oct-2007,5551.1,5736.8,5269.65,5351,206826198,13926.53
19-Oct-2007,5360.35,5390.85,5101.75,5215.3,181564197,13047.28
22-Oct-2007,5202.75,5247.4,5070.9,5184,136778675,9599.99
23-Oct-2007,5185.3,5488.5,5176.85,5473.7,145836946,9823.52
24-Oct-2007,5477.6,5577.9,5419.4,5496.15,168219323,11025.76
25-Oct-2007,5499.05,5605.95,5469.3,5568.95,189001966,12355.38
26-Oct-2007,5564.25,5716.9,5513.35,5702.3,164503445,10182.7
29-Oct-2007,5708.9,5922.5,5708.9,5905.9,173592451,11139.04
30-Oct-2007,5917.55,5976,5833.9,5868.75,176833304,11175.09
31-Oct-2007,5868.9,5952.25,5861.3,5900.65,168376615,10660.49
01-Nov-2007,5903.8,6011.95,5837.2,5866.45,270430021,15459.68
02-Nov-2007,5854.85,5944.75,5714.25,5932.4,164840883,10390.37
05-Nov-2007,5931.9,5948.55,5819.6,5847.3,169236876,10816.34
06-Nov-2007,5847.1,5957.2,5759.95,5786.5,244846922,11356.55
07-Nov-2007,5782.4,5861.35,5744.3,5782.35,171689234,9735.77
08-Nov-2007,5779.3,5780.8,5646.75,5698.75,141330728,8866.6
09-Nov-2007,5703.45,5794.2,5614.9,5663.25,21389583,1221.34
12-Nov-2007,5660.6,5660.6,5477.5,5617.1,138684010,9132.66
13-Nov-2007,5612.35,5758.85,5591.6,5695.4,157132078,9778.05
14-Nov-2007,5703.95,5950.2,5700.05,5937.9,173322049,10476.58
15-Nov-2007,5942.7,5966.95,5895.65,5912.1,146636457,8411.6
16-Nov-2007,5913.15,5948.05,5817.4,5906.85,129792165,6936.06
19-Nov-2007,5908.05,5981.8,5893.8,5907.65,104832611,6365.22
20-Nov-2007,5911.25,5923.7,5755.8,5780.9,127253010,8344.73
21-Nov-2007,5778.8,5790.05,5530.85,5561.05,129971304,8280.83
22-Nov-2007,5564.65,5608.65,5394.35,5519.35,149030575,8305.68
23-Nov-2007,5524.3,5638.6,5514.75,5608.6,102005286,6366.06
26-Nov-2007,5611.3,5772.55,5608.95,5731.7,127104011,6682.25
27-Nov-2007,5729.25,5743.55,5655.6,5698.15,96308399,5501.67
28-Nov-2007,5699.55,5749.95,5595.5,5617.55,97582679,5726.96
29-Nov-2007,5617.8,5725,5612.1,5634.6,301117809,12818.63
30-Nov-2007,5633.9,5782.55,5632.65,5762.75,170577892,9503.39
03-Dec-2007,5765.45,5878.8,5754.6,5865,111926365,7532.47
04-Dec-2007,5870.2,5897.25,5840.3,5858.35,107528301,6333.67
05-Dec-2007,5861.9,5949.3,5859.95,5940,120145091,7209.37
06-Dec-2007,5941.05,6027.05,5919.8,5954.7,154949531,8424.27
07-Dec-2007,5963.6,6042.1,5894.8,5974.3,123105339,8145.43
10-Dec-2007,5974,6015.3,5923.35,5960.6,86359475,5341.86
11-Dec-2007,5960.4,6111.2,5960.4,6097.25,115310729,7181.42
12-Dec-2007,6067.05,6175.65,6005.45,6159.3,130818169,8144.29
13-Dec-2007,6159.25,6185.4,6040.4,6058.1,120319710,7229.32
14-Dec-2007,6056.2,6078.55,6015.05,6047.7,100558395,6479.84
17-Dec-2007,6037.95,6039.95,5740.6,5777,108208153,6815.6
18-Dec-2007,5777.6,5874.6,5710.6,5742.3,109864350,7645.87
19-Dec-2007,5730.25,5840.8,5676.7,5751.15,88389658,6277.71
20-Dec-2007,5751.75,5799.5,5742.75,5766.5,79144603,5815.36
24-Dec-2007,5771.3,6001.05,5771.3,5985.1,100417081,6697.33
26-Dec-2007,5988.45,6085.25,5988.45,6070.75,90827443,5872.56
27-Dec-2007,6069,6110.85,6060.2,6081.5,150138294,9138.37
28-Dec-2007,6079.55,6098.6,6021.9,6079.7,87075023,5373.72
31-Dec-2007,6095,6167.75,6095,6138.6,85023208,4951.8
01-Jan-2008,6136.75,6165.35,6109.85,6144.35,81305366,4410.97
02-Jan-2008,6144.7,6197,6060.85,6179.4,110353305,7184.35
03-Jan-2008,6184.25,6230.15,6126.4,6178.55,156427760,9475.37
04-Jan-2008,6179.1,6300.05,6179.1,6274.3,147642063,8779.23
07-Jan-2008,6271,6289.8,6193.35,6279.1,139778977,8873.37
08-Jan-2008,6282.45,6357.1,6221.6,6287.85,162564130,10574.25
09-Jan-2008,6287.55,6338.3,6231.25,6272,120853354,8104.77
10-Jan-2008,6278.1,6347,6142.9,6156.95,133662127,9321.29
11-Jan-2008,6166.65,6224.2,6112.55,6200.1,125140494,8457.94
14-Jan-2008,6208.8,6244.15,6172,6206.8,111015627,7764.65
15-Jan-2008,6226.35,6260.45,6053.3,6074.25,117677698,8500.09
16-Jan-2008,6065,6065,5825.75,5935.75,152499954,10674.88
17-Jan-2008,5937.95,6013.15,5880.3,5913.2,127181643,9479.64
18-Jan-2008,5907.75,5908.75,5677,5705.3,135839094,9533.05
21-Jan-2008,5705,5705,4977.1,5208.8,211347217,12589.09
22-Jan-2008,5203.35,5203.35,4448.5,4899.3,200603284,11565.41
23-Jan-2008,4903.05,5328.05,4891.6,5203.4,172729968,10029.3
24-Jan-2008,5208,5357.2,4995.8,5033.45,145355769,8302.42
25-Jan-2008,5035.05,5399.25,5035.05,5383.35,105876191,6228.84
28-Jan-2008,5380.95,5380.95,5071,5274.1,94557347,5326.69
29-Jan-2008,5279.55,5391.6,5225.25,5280.8,99068477,5553.19
30-Jan-2008,5283.75,5314.3,5142.25,5167.6,101260486,5331.89
31-Jan-2008,5172.25,5251.65,5071.15,5137.45,187588589,10245.43
01-Feb-2008,5140.6,5339.95,5090.75,5317.25,106716699,5965.82
04-Feb-2008,5315.55,5545.2,5315.55,5463.5,105796179,6278.69
05-Feb-2008,5463.75,5500.6,5412.95,5483.9,96724766,5252.39
06-Feb-2008,5470.4,5470.4,5257.05,5322.55,106220956,5705.13
07-Feb-2008,5322.55,5344.6,5113.85,5133.25,103085491,5687.6
08-Feb-2008,5132.1,5173.85,5034.25,5120.35,108947080,5960.29
11-Feb-2008,5120.55,5126.4,4803.6,4857,125724868,7432.64
12-Feb-2008,4877.85,4949.6,4820.45,4838.25,102374113,5729.12
